hostname,ipaddress
Voice1464-M01H-C-EG,10.60.62.82
Voice1682-M01H-C-EG,10.60.62.90
Voice1465-M01H-C-EG,10.50.166.66
GNOBMS35-M01Z-C-EG,10.60.31.34
SHMLMS38-M01Z-C-EG,10.60.58.18
15MAYC67-M01N-C-EG,10.42.22.2
15MYCBH5-M01H-C-EG,10.41.101.90
15MAYC1-M01H-C-EG,10.41.101.34
15MAYC1-M02H-C-EG,10.41.101.35
15MAYC2-M01H-C-EG,10.41.101.42
15MAYC2-M02H-C-EG,10.41.101.43
15MESCB1-M01H-C-EG,10.41.101.18
15MESCB2-M01H-C-EG,10.41.101.26
15MAY-M02H-C-EG,10.41.161.138
15MAY-M01H-C-EG,10.41.221.90
15MAYC25-M01H-C-EG,10.40.236.114
15MAYC26-M01H-C-EG,10.40.236.130
15MAY135-M01H-C-EG,10.50.137.50
15MAY135-M02H-C-EG,10.50.149.131
15MAY120-M01H-C-EG,10.50.55.226
15MAYC46-M01H-C-EG,10.41.251.218
15MAYC46-M02H-C-EG,10.41.251.219
15MAY121-M01H-C-EG,10.50.55.242
15MAY122-M01H-C-EG,10.50.55.250
15MAY123-M01H-C-EG,10.50.55.234
15MYC116-M01H-C-EG,10.50.55.210
15MAY118-M01H-C-EG,10.50.55.218
15MAY182-M01H-C-EG,10.50.56.2
15MAY184-M01H-C-EG,10.50.56.10
15MAY185-M01H-C-EG,10.50.56.18
15MAY186-M01H-C-EG,10.50.56.26
NZH2C900-M01H-C-EG,10.40.148.74
NZH2C125-M01H-C-EG,10.50.67.66
NZHA2R7-M01H-C-EG,10.40.148.50
NZHA2R7-M02H-C-EG,10.40.148.51
NZHA2R5-M01H-C-EG,10.40.148.42
NZHA2R5-M02H-C-EG,10.40.148.43
NOZHCB25-M01H-C-EG,10.40.179.202
NZHA2R2-M01H-C-EG,10.40.148.2
NZHA2R2-M02H-C-EG,10.40.148.3
NZHA2C33-M01H-C-EG,10.41.235.146
NZ2C4C27-M01H-C-EG,10.40.179.218
NZH2CB20-M01H-C-EG,10.40.85.250
NOZHCB26-M01M-C-EG,10.40.179.210
NZHA2C34-M01H-C-EG,10.41.235.154
NZHA2C35-M01H-C-EG,10.41.235.162
NZHA2C36-M01H-C-EG,10.41.235.170
NZ2R3EXP-M01H-C-EG,10.40.148.114
NOZH2C37-M01H-C-EG,10.40.90.162
NOZH2C38-M01H-C-EG,10.40.90.170
NZ2C4C28-M01H-C-EG,10.40.179.226
NOZH2C39-M01H-C-EG,10.40.90.178
NZHA2C29-M01H-C-EG,10.40.179.242
NZHA2C30-M01H-C-EG,10.40.179.250
NZHA2C31-M01H-C-EG,10.40.179.234
NZHA2C32-M01H-C-EG,10.40.178.26
NZH2C48-M01H-C-EG,10.42.62.250
NZH2C49-M01H-C-EG,10.42.62.234
NZH2C50-M01H-C-EG,10.42.63.2
NZH2C51-M01H-C-EG,10.42.63.10
