BET_Name,TEDataIP,Parent_Interface
HDRACB21-M02H-ALX-EG,10.40.67.147,ge-0/2/9
HADRAC22-M01H-ALX-EG,10.40.67.154,ge-0/3/0
HADRAC22-M02H-ALX-EG,10.40.67.155,ge-0/3/0
HDARAH-M01H-ALX-EG,10.41.133.218,ge-0/3/2
HDARAH-M02H-ALX-EG,10.42.19.38,ge-0/3/2
HDRACB25-M01H-ALX-EG,10.40.204.66,ge-0/3/3
HADRC117-M01Z-ALX-EG,10.50.184.58,ge-0/3/6
HDRACB46-M01Z-ALX-EG,10.42.18.58,ge-1/0/0
HDARAH42-M01H-ALX-EG,10.41.70.186,ge-1/0/3
HDARAH42-M02H-ALX-EG,10.41.70.187,ge-1/0/3
HDRACB30-M01H-ALX-EG,10.40.235.138,ge-1/0/4
HDARAH43-M01H-ALX-EG,10.41.70.194,ge-1/0/9
HDARAH43-M02H-ALX-EG,10.41.70.195,ge-1/0/9
HDRACB35-M01H-ALX-EG,10.41.3.162,ge-1/1/0
HDARAC80-M01H-ALX-EG,10.50.95.178,ge-1/1/1
HADRAC81-M01H-ALX-EG,10.50.95.186,ge-1/1/2
HDARAH82-M01H-ALX-EG,10.50.95.194,ge-1/1/3
HDARAH40-M01H-ALX-EG,10.41.38.50,ge-1/1/6
HDARAC76-M01H-ALX-EG,10.50.95.146,ge-1/2/6
HADRAC77-M01H-ALX-EG,10.50.95.154,ge-1/2/7
HDARAC78-M01H-ALX-EG,10.50.95.162,ge-1/2/8
HADRAC79-M01H-ALX-EG,10.50.95.170,ge-1/2/9
HDRAHC48-M01H-ALX-EG,10.42.200.170,ge-1/3/1
HDARAH45-M01H-ALX-EG,10.41.70.210,ge-1/3/9
HDARAH45-M02H-ALX-EG,10.41.70.211,ge-1/3/9
SHNCBL7-M01H-SHR-EG,10.40.83.2,ge-0/0/1
SHNCBL7-M02H-SHR-EG,10.40.83.3,ge-0/0/1
KFRSKR-M01H-SHR-EG,10.41.168.142,ge-0/0/5
KFRSKR12-M01Z-SHR-EG,10.42.89.114,ge-0/0/9
KFRSAQR2-M01H-SHR-EG,10.40.54.218,ge-0/1/0
KFRSAQR3-M01H-SHR-EG,10.40.54.226,ge-0/1/1
KFRSAQR4-M01H-SHR-EG,10.40.54.242,ge-0/1/2
KFRSAQR4-M02H-SHR-EG,10.40.54.243,ge-0/1/2
KFRSKR-M02H-SHR-EG,10.41.221.70,ge-0/1/3
