_id,TE_ipaddress,TE_ifName
5f47fb0fbdb27375ccf3f4e9,10.40.127.58,ethernet0/10/0
5f47fb0fbdb27375ccf3f4ea,10.40.157.219,ethernet0/9/0
5f47fb0fbdb27375ccf3f4ed,10.50.62.202,gei_1/22/1
5f47fb0fbdb27375ccf3f4ee,10.42.221.90,ethernet0/9/0
5f47fb0fbdb27375ccf3f4ef,10.40.130.82,ethernet0/10/0
5f47fb0fbdb27375ccf3f4f1,10.40.170.18,ethernet0/9/0
5f47fb0fbdb27375ccf3f4f2,10.40.241.42,ethernet0/9/0
5f47fb0fbdb27375ccf3f4f7,10.41.28.218,gei_1/21/1
5f47fb0fbdb27375ccf3f4f9,10.40.161.98,ethernet0/9/0
5f47fb0fbdb27375ccf3f4fa,10.42.150.210,ethernet0/9/0
5f47fb0fbdb27375ccf3f4fb,10.42.16.194,ethernet0/10/0
5f47fb0fbdb27375ccf3f4fe,10.41.59.218,ethernet0/10/0
5f47fb0fbdb27375ccf3f4ff,10.42.178.82,ethernet0/9/0
5f47fb0fbdb27375ccf3f500,10.41.209.246,ethernet0/10/0
5f47fb0fbdb27375ccf3f501,10.42.179.250,ethernet0/10/0
5f47fb0fbdb27375ccf3f504,10.42.146.90,ethernet0/9/0
5f47fb0fbdb27375ccf3f505,10.41.57.186,ethernet0/10/0
5f47fb0fbdb27375ccf3f506,10.40.118.51,ethernet0/9/0
5f47fb0fbdb27375ccf3f507,10.41.73.171,ethernet0/10/0
5f47fb0fbdb27375ccf3f508,10.50.92.218,gei_1/21/1
5f47fb0fbdb27375ccf3f50a,10.41.222.202,ethernet0/10/0
5f47fb0fbdb27375ccf3f50c,10.40.183.19,ethernet0/9/0
5f47fb0fbdb27375ccf3f50d,10.50.133.170,ethernet0/10/0
5f47fb0fbdb27375ccf3f50e,10.40.91.226,ethernet0/10/0
5f47fb0fbdb27375ccf3f50f,10.42.151.82,ethernet0/10/0
5f47fb0fbdb27375ccf3f510,10.41.124.246,ethernet0/10/0
5f47fb0fbdb27375ccf3f511,10.40.73.250,ethernet0/9/0
5f47fb0fbdb27375ccf3f512,10.40.119.146,ethernet0/9/0
5f47fb0fbdb27375ccf3f513,10.42.139.90,ethernet0/10/0
5f47fb0fbdb27375ccf3f514,10.40.31.50,ethernet0/9/0
5f47fb0fbdb27375ccf3f515,10.42.138.18,ethernet0/10/0
5f47fb0fbdb27375ccf3f516,10.40.129.107,ethernet0/10/0
5f47fb0fbdb27375ccf3f518,10.41.17.2,ethernet0/10/0
5f47fb0fbdb27375ccf3f51c,10.40.237.146,ethernet0/9/0
5f47fb0fbdb27375ccf3f524,10.40.55.242,ethernet0/9/0
5f47fb0fbdb27375ccf3f525,10.40.235.27,ethernet0/10/0
5f47fb0fbdb27375ccf3f526,10.41.188.18,ethernet0/10/0
5f47fb0fbdb27375ccf3f527,10.41.27.138,ethernet0/9/0
5f47fb0fbdb27375ccf3f52b,10.41.166.210,ethernet0/10/1
5f47fb0fbdb27375ccf3f52c,10.42.13.90,ethernet0/10/0
5f47fb0fbdb27375ccf3f52d,10.40.51.58,ethernet0/9/0
5f47fb0fbdb27375ccf3f52f,10.41.86.18,gei_1/21/1
5f47fb0fbdb27375ccf3f530,10.42.50.234,ethernet0/9/0
5f47fb0fbdb27375ccf3f532,10.41.158.59,gei_1/21/1
5f47fb0fbdb27375ccf3f534,10.40.99.2,ethernet0/10/0
5f47fb0fbdb27375ccf3f535,10.41.244.82,ntio-1:sfp:4
5f47fb0fbdb27375ccf3f536,10.41.215.11,ethernet0/9/0
5f47fb0fbdb27375ccf3f537,10.41.241.234,ethernet0/10/0
5f47fb0fbdb27375ccf3f538,10.41.207.46,ethernet0/10/2
5f47fb0fbdb27375ccf3f539,10.40.82.66,ethernet0/9/0
